Timestamp,Title,Text,PhotoUrl
23/06/2025 2:02:16,123,456,No hay foto
23/06/2025 2:19:57,234,567,No hay foto
23/06/2025 2:35:55,Árbol de la Vida,xgjgfxxfh,No hay foto
23/06/2025 2:51:38,Árbol de la Vida,1234567890,No hay foto
23/06/2025 2:59:44,Viaje al NORTE,rfgb i9ol,No hay foto
23/06/2025 3:44:54,lolali,asfpaparp,No hay foto
23/06/2025 4:42:19,a ver si guarda fotos,hola foto,https://drive.google.com/thumbnail?id=1s6NX16R_4ViZJqHBBUj7KqlHY8_qX0c8&sz=w800
23/06/2025 6:12:02,Radio a mi pagina privada añadida,"ya tengo radio añadida, solo tengo que añadir canciones, y creo que lo siguiente será corregir lo de las imagenes en portapapeles y luego el hacer el script de android",No hay foto
23/06/2025 7:11:43,Creo que el Rafita de Madri (el coci) está loco,Creo que el Rafita de Madrí está loco y es un carnicero,No hay foto
23/06/2025 7:15:24,El Rafita coce creo que es una carnicera,Creo que es una carnicera peluda,No hay foto
23/06/2025 7:15:46,rafita el coci,carnicera peluda,No hay foto
23/06/2025 7:59:31,Los Dos Pavos son Rafita y Nacho de Madrí (del barrio del Pilar),Esos son los dos pavos ..,No hay foto
23/06/2025 8:03:29,Rafi el coci y Nacho los dos de madría son los dos pavos que me acosaron en el campo,Son los dos pavos que siendo yo un bebé me acosaron en el campo y me dijo la abuela que habían 2 pavos,No hay foto
23/06/2025 8:04:57,Rafa y Nacho me acosaron a principios de los 80 en el campo,"siendo yo un recién nacido ...
serán de esos ... que se piensan que los curros se heredan ...
Ya están parándolo todo.",No hay foto
23/06/2025 8:08:01,A Rafa y Nacho del barrio del Pilar de madri ... que los aten,que los aten ... me dan mala espina y a sus parecidos también.,No hay foto
23/06/2025 8:19:41,he visto a algún joven de nacho que me da muy mala espina,a ese también,No hay foto
23/06/2025 8:56:15,A mi no me metan en sus juegos raros,"y menos para decirme después: ""lo siento"" ""perdón"" o silimar",No hay foto
